province,health_region,date_report,cases,cumulative_cases,deaths,cumulative_deaths,numtotal_last14,numdeaths_last14,numtotal_last7,numdeaths_last7,avgtotal_last7,avgdeaths_last7
New Brunswick,Not Reported,2022-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Not Reported,2022-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Not Reported,2022-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 1 (Moncton area),2022-03-07,325.0,12556.0,0.0,77.0,1970.0,2.0,771.0,1.0,110.14285714285714,0.14285714285714285
New Brunswick,Zone 1 (Moncton area),2022-03-08,79.0,12635.0,0.0,77.0,1607.0,2.0,784.0,0.0,112.0,0.0
New Brunswick,Zone 1 (Moncton area),2022-03-09,74.0,12709.0,0.0,77.0,1582.0,2.0,741.0,0.0,105.85714285714286,0.0
New Brunswick,Zone 1 (Moncton area),2022-03-10,153.0,12862.0,1.0,78.0,1625.0,3.0,761.0,1.0,108.71428571428571,0.14285714285714285
New Brunswick,Zone 1 (Moncton area),2022-03-11,105.0,12967.0,0.0,78.0,1619.0,3.0,736.0,1.0,105.14285714285714,0.14285714285714285
New Brunswick,Zone 1 (Moncton area),2022-03-12,0.0,12967.0,0.0,78.0,1619.0,3.0,736.0,1.0,105.14285714285714,0.14285714285714285
New Brunswick,Zone 1 (Moncton area),2022-03-13,0.0,12967.0,0.0,78.0,1619.0,3.0,736.0,1.0,105.14285714285714,0.14285714285714285
New Brunswick,Zone 2 (Saint John area),2022-03-07,269.0,9616.0,2.0,52.0,1285.0,3.0,604.0,2.0,86.28571428571429,0.2857142857142857
New Brunswick,Zone 2 (Saint John area),2022-03-08,79.0,9695.0,1.0,53.0,1161.0,3.0,631.0,3.0,90.14285714285714,0.42857142857142855
New Brunswick,Zone 2 (Saint John area),2022-03-09,105.0,9800.0,0.0,53.0,1177.0,3.0,641.0,3.0,91.57142857142857,0.42857142857142855
New Brunswick,Zone 2 (Saint John area),2022-03-10,111.0,9911.0,0.0,53.0,1210.0,3.0,659.0,3.0,94.14285714285714,0.42857142857142855
New Brunswick,Zone 2 (Saint John area),2022-03-11,98.0,10009.0,0.0,53.0,1227.0,3.0,662.0,3.0,94.57142857142857,0.42857142857142855
New Brunswick,Zone 2 (Saint John area),2022-03-12,0.0,10009.0,0.0,53.0,1227.0,3.0,662.0,3.0,94.57142857142857,0.42857142857142855
New Brunswick,Zone 2 (Saint John area),2022-03-13,0.0,10009.0,0.0,53.0,1227.0,3.0,662.0,3.0,94.57142857142857,0.42857142857142855
New Brunswick,Zone 3 (Fredericton area),2022-03-07,265.0,7035.0,0.0,49.0,1324.0,3.0,609.0,2.0,87.0,0.2857142857142857
New Brunswick,Zone 3 (Fredericton area),2022-03-08,39.0,7074.0,0.0,49.0,1094.0,2.0,550.0,1.0,78.57142857142857,0.14285714285714285
New Brunswick,Zone 3 (Fredericton area),2022-03-09,56.0,7130.0,1.0,50.0,1086.0,3.0,519.0,2.0,74.14285714285714,0.2857142857142857
New Brunswick,Zone 3 (Fredericton area),2022-03-10,72.0,7202.0,2.0,52.0,1078.0,5.0,520.0,4.0,74.28571428571429,0.5714285714285714
New Brunswick,Zone 3 (Fredericton area),2022-03-11,98.0,7300.0,0.0,52.0,1108.0,5.0,530.0,3.0,75.71428571428571,0.42857142857142855
New Brunswick,Zone 3 (Fredericton area),2022-03-12,0.0,7300.0,0.0,52.0,1108.0,5.0,530.0,3.0,75.71428571428571,0.42857142857142855
